id,return_id,event_type,occurred_at
020f9c4e-2e7d-44fb-9205-f7985fcd05ce,a49b3397-b96d-4c62-8d66-9098b5e2618c,inspection_completed,2026-04-21T09:24:55
929c8175-8545-49a9-8c4a-0dfcb1010919,deb99b1b-79fa-4c07-83b0-7081183e19ef,requested,2026-04-30T22:53:14
2601a215-0148-477c-bc06-a096acec7058,deb99b1b-79fa-4c07-83b0-7081183e19ef,approved,2026-05-01T06:31:52
ed9053f8-c37c-4095-b5ce-c163253e0959,deb99b1b-79fa-4c07-83b0-7081183e19ef,item_received,2026-05-07T06:31:52
1bc8d2da-a39b-48d3-87b4-cf18858f64c4,deb99b1b-79fa-4c07-83b0-7081183e19ef,inspection_completed,2026-05-08T07:23:50
824fa700-3ffe-4edf-aa8f-62583efb7740,deb99b1b-79fa-4c07-83b0-7081183e19ef,refund_issued,2026-05-09T06:01:23
a115e9f4-312b-4ee0-a26e-9675851f7531,38596209-1066-4bf2-8b92-3cde92eda0d8,requested,2026-03-05T00:45:20
6e6e03d5-f6b0-400f-80c9-260febfa6415,38596209-1066-4bf2-8b92-3cde92eda0d8,approved,2026-03-05T08:15:26
c906821c-401e-40ac-9aa4-af0e66ae05a6,38596209-1066-4bf2-8b92-3cde92eda0d8,item_received,2026-03-07T08:15:26
43e7ceaa-aad5-46fb-a8b3-9352f10eadfe,38596209-1066-4bf2-8b92-3cde92eda0d8,inspection_completed,2026-03-08T19:54:54
e7acad26-67d0-4c94-af13-79e22f94bc85,c7795ed8-32e7-43ec-8702-6c644ef0912b,requested,2026-08-20T10:17:07
6090ccbd-3595-4cb2-8eda-dd610553caae,c7795ed8-32e7-43ec-8702-6c644ef0912b,approved,2026-08-20T16:43:43
a5d317e0-6dd3-4ed1-aebb-414c23c83efe,c7795ed8-32e7-43ec-8702-6c644ef0912b,item_received,2026-08-24T16:43:43
2f8bd083-3696-40e1-8eaf-e0b707808a7f,c7795ed8-32e7-43ec-8702-6c644ef0912b,inspection_completed,2026-08-24T21:48:40
8b51a4d0-4879-4131-ad8a-91d7af1fa368,0a57dd5f-df56-471a-ba6e-dc61336ae860,requested,2026-07-19T14:03:59
e9708466-56ab-4871-bf5d-74669d246034,0a57dd5f-df56-471a-ba6e-dc61336ae860,approved,2026-07-20T06:10:15
f248ecf5-59a6-494c-b3d5-de71a9340694,0a57dd5f-df56-471a-ba6e-dc61336ae860,item_received,2026-07-25T06:10:15
80d07965-5c3c-4b24-9741-31081fef2445,0a57dd5f-df56-471a-ba6e-dc61336ae860,inspection_completed,2026-07-25T23:53:23
e77beabe-d0b6-4a87-acaa-898b36c457d7,0a57dd5f-df56-471a-ba6e-dc61336ae860,refund_issued,2026-07-26T05:45:57
d9b8e262-0bee-4706-a0a2-da593ed7baf9,94d98431-551a-4ba5-99c2-7835727e1659,requested,2026-03-14T10:59:02
fc885eb6-fce9-4eb9-8933-cb28536eaba5,94d98431-551a-4ba5-99c2-7835727e1659,approved,2026-03-14T21:52:12
c494013d-8c29-403e-9258-0b2f68594517,94d98431-551a-4ba5-99c2-7835727e1659,item_received,2026-03-16T21:52:12
39636ffa-6a90-455d-bb60-9316edd788c9,94d98431-551a-4ba5-99c2-7835727e1659,inspection_completed,2026-03-17T00:58:19
d0ae8b4e-28c7-43bb-871c-5323886d7aef,94d98431-551a-4ba5-99c2-7835727e1659,refund_issued,2026-03-17T22:17:37
