id,purchase_order_id,sku,quantity_ordered,unit_cost_cents
4f76f91d-3d05-4d79-a70e-fc1d37a9dcfc,9f1584a6-6167-4a55-b67d-25231488fd43,JAF-002,148,484
ef0bc823-24be-4deb-bde6-5830afd6fa00,9f1584a6-6167-4a55-b67d-25231488fd43,BEV-002,69,228
16a9f996-da6a-4253-a364-a0927e04aaae,9f1584a6-6167-4a55-b67d-25231488fd43,BEV-001,148,307
d7320021-4e07-4cd9-a97e-fc7fc8e8f74a,e4350881-3b57-47c9-84b9-a19043d2e36f,JAF-002,45,372
96c2fb7f-7a50-463f-9c20-4f265080d8be,e4350881-3b57-47c9-84b9-a19043d2e36f,BEV-005,69,167
eda134cc-888b-433a-99ed-b419c1495f8e,e4350881-3b57-47c9-84b9-a19043d2e36f,JAF-004,144,426
ca225977-c937-45bd-81ff-909cdf66f94c,133f88c2-e592-4a48-a9dc-4a61207c3b6a,BEV-001,126,248
14125740-7b59-4582-8509-dd2869c5e917,ea45ac60-50fc-474f-b39e-238b524696e9,BEV-004,77,324
7b12db57-0923-4c8b-9868-591232f12e60,ea45ac60-50fc-474f-b39e-238b524696e9,JAF-001,41,377
5ffe642b-72c5-4c6d-9e36-a3474e356b2f,0ff1ea79-3bbc-4557-b3b6-d9f56f96caa4,BEV-003,37,199
2378ebd5-b729-468a-8972-972e03a2cc9a,fc844454-cbe0-40a5-92f1-e1e1135eb4d7,JAF-004,51,426
aa212138-b4ff-4f89-883f-6f865b068df1,fc844454-cbe0-40a5-92f1-e1e1135eb4d7,JAF-002,121,372
67aab5c7-0f04-47c3-8641-f57e74dffe1d,fc844454-cbe0-40a5-92f1-e1e1135eb4d7,BEV-005,150,167
dd786b47-f0d1-4d4d-ba4d-e6e6efe942eb,001c3b1f-ca56-46ae-b7c0-676f5eb58528,JAF-004,38,426
62dfce90-9faf-4c6d-aff9-b0b85de69190,001c3b1f-ca56-46ae-b7c0-676f5eb58528,JAF-002,87,372
1859e2b3-67f1-4914-96da-940299a1c10a,001d71e1-6225-4d73-9e67-a7ab201f4614,JAF-005,44,577
b285ba36-a30b-4730-8a8a-de17808e72f3,001d71e1-6225-4d73-9e67-a7ab201f4614,BEV-003,122,199
d2b222db-bd38-4bf7-bedd-6ca48d9967ab,4898756c-e72e-4f95-a7bc-e2a3f2833690,JAF-005,90,577
a1400bc9-aba1-45dc-9d69-d63affc838a8,69d256cc-58c5-455f-af2d-02609de543a5,JAF-002,111,484
52cc63ac-8f9c-45ce-a0d9-ee6d640336ca,69d256cc-58c5-455f-af2d-02609de543a5,BEV-001,114,307
4661a413-779a-4296-98ec-ee2b0b70588e,69d256cc-58c5-455f-af2d-02609de543a5,BEV-002,97,228
c77411ad-5fa3-4274-8c1b-03a6502b4db4,e3a8bcf9-e01c-40fc-99db-cfd23ece81bb,JAF-001,132,377
c530b77c-d61e-485b-9a8e-233b5d30f5df,e3a8bcf9-e01c-40fc-99db-cfd23ece81bb,JAF-003,146,606
5eb2bac7-1593-4843-9671-e44d032104ec,83694a0c-09a8-4a07-848f-f76000d21585,BEV-001,49,248
dae85971-e96e-4af7-9c22-b21c9d0dce4f,403643a1-5199-421e-a976-fbc723fd47b5,BEV-001,105,307
6c16142e-d549-4b7a-b41e-557dd11c8fd9,403643a1-5199-421e-a976-fbc723fd47b5,JAF-002,110,484
2e31e7c4-10ca-475b-b855-16783987e335,6e8dd6fd-c8d6-41bf-8e81-90b98d47ad31,BEV-001,116,307
e0e83a28-26f4-4ad1-9eb3-3eee69b37cb3,6e8dd6fd-c8d6-41bf-8e81-90b98d47ad31,JAF-002,74,484
b2e93acb-3449-4dd1-88f9-99c364df6901,e5fd1585-9f0e-410c-8133-a36c8e41c894,BEV-004,74,324
aa08c8af-b3cf-49c9-9151-edea7b5aa954,e5fd1585-9f0e-410c-8133-a36c8e41c894,JAF-001,20,377
3ba9eb2a-1774-41d7-a385-6fc6642974cf,e5fd1585-9f0e-410c-8133-a36c8e41c894,JAF-003,150,606
dbd84966-7690-4aa3-8341-a5c8eeb47f81,2eddd8d3-764a-4c19-9cc3-78be48f9999b,BEV-001,61,248
b9b1c6e5-c742-4970-befa-947145f8e0e6,d11740f8-1812-4df6-bdff-384112f44583,BEV-003,135,199
7fc22790-b85d-4ef7-95a5-917623c6089d,c398dba1-48c9-4e84-89f6-7d1fea49f9ad,JAF-001,75,377
8b9e834b-158b-432c-ae29-94dbfde7b2d4,c398dba1-48c9-4e84-89f6-7d1fea49f9ad,JAF-003,69,606
9b3c7eea-46e6-4576-9d95-913c2d570c77,c398dba1-48c9-4e84-89f6-7d1fea49f9ad,BEV-004,130,324
d07805ef-c481-44f4-b3c7-3e9d8058c317,c0b6fee3-5d61-4bcf-959c-28dcab795df9,BEV-005,80,167
4fa061c5-49d6-45ed-be0f-eebf31c49fe5,c0b6fee3-5d61-4bcf-959c-28dcab795df9,JAF-004,76,426
9a05317f-b2ed-477a-ac74-1273f781fc18,93964183-cf79-40e6-adff-a1665b363160,JAF-004,62,426
4b47f092-d0c2-4b91-a1e4-221e733159b3,93964183-cf79-40e6-adff-a1665b363160,BEV-005,34,167
cf21ad7d-deb8-46b8-a976-fc7f8a86c276,93964183-cf79-40e6-adff-a1665b363160,JAF-002,101,372
