id,purchase_order_id,sku,quantity_received,received_at,condition
dce7e7e5-9e6f-480c-892c-ffbb05efba1a,001c3b1f-ca56-46ae-b7c0-676f5eb58528,JAF-002,38,2026-04-26T16:08:46,damaged
f1495dc7-1695-4835-9eab-eb348efe8489,e3a8bcf9-e01c-40fc-99db-cfd23ece81bb,JAF-001,92,2026-05-29T16:08:46,damaged
e2846f81-5a19-49ab-afb4-e0771aefa48b,e3a8bcf9-e01c-40fc-99db-cfd23ece81bb,JAF-003,99,2026-05-31T16:08:46,good
10342ed1-06da-4e94-a6f1-9a17ea4b1ed5,6e8dd6fd-c8d6-41bf-8e81-90b98d47ad31,BEV-001,75,2026-05-11T16:08:46,short_shipped
a7d9f3a3-0e48-42fe-aea4-fb5406826e3e,6e8dd6fd-c8d6-41bf-8e81-90b98d47ad31,JAF-002,74,2026-05-12T16:08:46,good
5173f207-282d-4738-89dd-bdb63748f68b,e5fd1585-9f0e-410c-8133-a36c8e41c894,BEV-004,74,2026-08-03T16:08:46,good
c266369a-d2d4-4699-8706-a6c69e214e85,e5fd1585-9f0e-410c-8133-a36c8e41c894,JAF-001,20,2026-08-03T16:08:46,good
5f8bf62d-1000-4032-ae06-fb5d2d4266af,e5fd1585-9f0e-410c-8133-a36c8e41c894,JAF-003,150,2026-08-04T16:08:46,damaged
ad942565-1d85-45b2-b4d1-628eb96bba9f,2eddd8d3-764a-4c19-9cc3-78be48f9999b,BEV-001,43,2026-05-28T16:08:46,damaged
26d497f4-8058-4493-bfdd-47cedc4447db,d11740f8-1812-4df6-bdff-384112f44583,BEV-003,135,2026-03-24T16:08:46,good
ff5bb050-7ad8-4c68-ac95-bf1c65c5a2dc,c398dba1-48c9-4e84-89f6-7d1fea49f9ad,JAF-001,47,2026-03-23T16:08:46,short_shipped
c8e57ec1-f614-4cbc-a2a8-ae973ffb1676,c398dba1-48c9-4e84-89f6-7d1fea49f9ad,JAF-003,45,2026-03-27T16:08:46,short_shipped
315b45c7-ca8e-400b-96c9-09092db45b5e,c398dba1-48c9-4e84-89f6-7d1fea49f9ad,BEV-004,81,2026-03-22T16:08:46,short_shipped
9669c22e-f575-48ba-b5f7-f560c0913d8d,c0b6fee3-5d61-4bcf-959c-28dcab795df9,BEV-005,60,2026-09-01T16:08:46,damaged
1aa3143e-9a5f-4a26-9c71-73ffa432484a,c0b6fee3-5d61-4bcf-959c-28dcab795df9,JAF-004,45,2026-09-01T16:08:46,damaged
07f36d89-5a59-4107-b6ca-984faae204b7,93964183-cf79-40e6-adff-a1665b363160,JAF-004,62,2026-05-16T16:08:46,good
ac20199a-099d-45ef-b21a-15c898db1cbf,93964183-cf79-40e6-adff-a1665b363160,BEV-005,34,2026-05-17T16:08:46,damaged
fa7fbd54-17b7-441a-8512-7ec342204dee,93964183-cf79-40e6-adff-a1665b363160,JAF-002,101,2026-05-17T16:08:46,good
